voxel x y z ROI pvalue
1 24 25 1 13 0.719157
2 25 25 1 13 0.9570291
3 24 26 1 13 0.3633434
4 37 26 1 2 0.2157545
5 38 26 1 2 0.6912192
6 23 27 1 13 0.04679488
7 24 27 1 13 0.0119978
8 35 27 1 2 0.990727
9 36 27 1 2 0.09751164
10 37 27 1 2 0.2777636
11 38 27 1 2 0.1392103
12 39 27 1 2 0.4895391
13 40 27 1 2 0.3992499
14 22 28 1 13 0.0004438177
15 23 28 1 13 0.8243519
16 24 28 1 13 0.0002026168
17 36 28 1 2 0.3920118
18 37 28 1 2 0.05630831
19 38 28 1 2 0.05896862
20 39 28 1 2 0.5453485
21 40 28 1 2 0.1288691
22 41 28 1 3 0.8213253
23 42 28 1 3 0.8068185
24 43 28 1 3 0.2759053
25 21 29 1 13 0.3227638
26 22 29 1 13 0.01430223
27 23 29 1 13 0.3654869
28 24 29 1 13 0.09808283
29 25 29 1 13 0.02856898
30 37 29 1 2 0.2411559
31 38 29 1 2 0.3795401
32 39 29 1 2 0.4321162
33 40 29 1 2 0.3181471
34 41 29 1 3 0.7991988
35 42 29 1 3 0.4665135
36 43 29 1 3 0.9835214
37 20 30 1 13 0.0001901761
38 21 30 1 13 0.05146879
39 22 30 1 13 0.909445
40 23 30 1 13 0.141993
41 24 30 1 13 0.5291432
42 25 30 1 13 0.3520724
43 37 30 1 2 0.9643538
44 38 30 1 2 0.5780593
45 39 30 1 2 0.3963724
46 40 30 1 2 0.2034961
47 41 30 1 3 0.7850724
48 42 30 1 3 0.2277001
49 43 30 1 3 0.3587773
50 44 30 1 3 0.07008158
51 20 31 1 13 0.5546829
52 21 31 1 13 0.00292455
53 22 31 1 13 0.7551091
54 23 31 1 13 0.06137015
55 24 31 1 13 0.6937434
56 25 31 1 13 0.8428936
57 37 31 1 2 0.5055592
58 38 31 1 2 0.3317564
59 39 31 1 2 0.1862713
60 40 31 1 2 0.01639023
61 41 31 1 2 0.9450701
62 42 31 1 3 0.04329081
63 43 31 1 3 0.2738903
64 44 31 1 3 0.5850098
65 20 32 1 14 0.9913382
66 21 32 1 13 0.1665363
67 22 32 1 13 0.484588
68 23 32 1 13 0.6708304
69 24 32 1 13 0.440717
70 25 32 1 19 0.03737333
71 26 32 1 19 0.01511518
72 28 32 1 24 0.2369309
73 29 32 1 24 0.0003231261
74 30 32 1 24 8.018824e-06
75 31 32 1 24 4.012249e-07
76 32 32 1 24 0.01973918
77 33 32 1 24 0.04818007
78 37 32 1 2 0.2331515
79 38 32 1 2 0.8780385
80 39 32 1 2 0.304701
81 40 32 1 2 0.3874443
82 41 32 1 2 0.01368515
83 42 32 1 2 0.5811092
84 43 32 1 3 0.4121506
85 44 32 1 3 0.298022
86 45 32 1 3 4.606742e-05
87 20 33 1 14 0.7152762
88 21 33 1 14 0.04158882
89 22 33 1 14 0.8684988
90 23 33 1 13 0.5266661
91 24 33 1 19 0.2373228
92 25 33 1 19 0.06826139
93 26 33 1 19 0.9453566
94 29 33 1 24 0.01038584
95 30 33 1 24 0.03467694
96 31 33 1 24 0.004441775
97 32 33 1 24 0.4141955
98 33 33 1 24 0.01160241
99 34 33 1 24 0.5541569
100 35 33 1 24 0.254697
101 37 33 1 2 0.295076
102 38 33 1 2 0.4661307
103 39 33 1 2 0.5996635
104 40 33 1 2 0.6765467
105 41 33 1 2 0.9110972
106 42 33 1 2 0.007726297
107 43 33 1 3 0.211263
108 44 33 1 3 0.1440337
109 45 33 1 3 0.0001238952
110 20 34 1 19 0.003179926
111 21 34 1 14 0.8871923
112 22 34 1 14 0.8933435
113 23 34 1 19 0.898163
114 24 34 1 19 0.1138669
115 25 34 1 19 0.06534081
116 26 34 1 19 0.4020517
117 29 34 1 24 0.8559293
118 30 34 1 24 0.01360196
119 31 34 1 24 0.511185
120 32 34 1 24 0.8767898
121 33 34 1 24 0.9718689
122 34 34 1 24 0.9861307
123 35 34 1 24 0.2771089
124 38 34 1 2 0.7541767
125 39 34 1 2 0.2582308
126 40 34 1 2 0.5554464
127 41 34 1 2 0.02050834
128 42 34 1 2 0.03766392
129 43 34 1 8 0.8160396
130 44 34 1 8 0.04739472
131 45 34 1 8 0.005668028
132 20 35 1 19 0.02677572
133 21 35 1 19 0.2804669
134 22 35 1 19 0.03529405
135 23 35 1 19 0.4099168
136 24 35 1 19 0.9162592
137 25 35 1 19 0.6391834
138 26 35 1 19 0.01401974
139 29 35 1 24 0.8140403
140 30 35 1 24 0.2968472
141 31 35 1 24 0.8236451
142 32 35 1 24 0.9642399
