"voxel" "x" "y" "z" "ROI" "pvalue" "discoveries"
"1" 1 24 25 1 13 0.719157 0
"2" 2 25 25 1 13 0.9570291 0
"3" 3 24 26 1 13 0.3633434 0
"4" 4 37 26 1 2 0.2157545 0
"5" 5 38 26 1 2 0.6912192 0
"6" 6 23 27 1 13 0.04679488 0
"7" 7 24 27 1 13 0.0119978 0
"8" 8 35 27 1 2 0.990727 0
"9" 9 36 27 1 2 0.09751164 0
"10" 10 37 27 1 2 0.2777636 0
"11" 11 38 27 1 2 0.1392103 0
"12" 12 39 27 1 2 0.4895391 0
"13" 13 40 27 1 2 0.3992499 0
"14" 14 22 28 1 13 0.0004438177 1
"15" 15 23 28 1 13 0.8243519 0
"16" 16 24 28 1 13 0.0002026168 1
"17" 17 36 28 1 2 0.3920118 0
"18" 18 37 28 1 2 0.05630831 0
"19" 19 38 28 1 2 0.05896862 0
"20" 20 39 28 1 2 0.5453485 0
"21" 21 40 28 1 2 0.1288691 0
"22" 22 41 28 1 3 0.8213253 0
"23" 23 42 28 1 3 0.8068185 0
"24" 24 43 28 1 3 0.2759053 0
"25" 25 21 29 1 13 0.3227638 0
"26" 26 22 29 1 13 0.01430223 0
"27" 27 23 29 1 13 0.3654869 0
"28" 28 24 29 1 13 0.09808283 0
"29" 29 25 29 1 13 0.02856898 0
"30" 30 37 29 1 2 0.2411559 0
"31" 31 38 29 1 2 0.3795401 0
"32" 32 39 29 1 2 0.4321162 0
"33" 33 40 29 1 2 0.3181471 0
"34" 34 41 29 1 3 0.7991988 0
"35" 35 42 29 1 3 0.4665135 0
"36" 36 43 29 1 3 0.9835214 0
"37" 37 20 30 1 13 0.0001901761 1
"38" 38 21 30 1 13 0.05146879 0
"39" 39 22 30 1 13 0.909445 0
"40" 40 23 30 1 13 0.141993 0
"41" 41 24 30 1 13 0.5291432 0
"42" 42 25 30 1 13 0.3520724 0
"43" 43 37 30 1 2 0.9643538 0
"44" 44 38 30 1 2 0.5780593 0
"45" 45 39 30 1 2 0.3963724 0
"46" 46 40 30 1 2 0.2034961 0
"47" 47 41 30 1 3 0.7850724 0
"48" 48 42 30 1 3 0.2277001 0
"49" 49 43 30 1 3 0.3587773 0
"50" 50 44 30 1 3 0.07008158 0
"51" 51 20 31 1 13 0.5546829 0
"52" 52 21 31 1 13 0.00292455 1
"53" 53 22 31 1 13 0.7551091 0
"54" 54 23 31 1 13 0.06137015 0
"55" 55 24 31 1 13 0.6937434 0
"56" 56 25 31 1 13 0.8428936 0
"57" 57 37 31 1 2 0.5055592 0
"58" 58 38 31 1 2 0.3317564 0
"59" 59 39 31 1 2 0.1862713 0
"60" 60 40 31 1 2 0.01639023 0
"61" 61 41 31 1 2 0.9450701 0
"62" 62 42 31 1 3 0.04329081 0
"63" 63 43 31 1 3 0.2738903 0
"64" 64 44 31 1 3 0.5850098 0
"65" 65 20 32 1 14 0.9913382 0
"66" 66 21 32 1 13 0.1665363 0
"67" 67 22 32 1 13 0.484588 0
"68" 68 23 32 1 13 0.6708304 0
"69" 69 24 32 1 13 0.440717 0
"70" 70 25 32 1 19 0.03737333 0
"71" 71 26 32 1 19 0.01511518 0
"72" 72 28 32 1 24 0.2369309 0
"73" 73 29 32 1 24 0.0003231261 1
"74" 74 30 32 1 24 8.018824e-06 1
"75" 75 31 32 1 24 4.012249e-07 1
"76" 76 32 32 1 24 0.01973918 0
"77" 77 33 32 1 24 0.04818007 0
"78" 78 37 32 1 2 0.2331515 0
"79" 79 38 32 1 2 0.8780385 0
"80" 80 39 32 1 2 0.304701 0
"81" 81 40 32 1 2 0.3874443 0
"82" 82 41 32 1 2 0.01368515 0
"83" 83 42 32 1 2 0.5811092 0
"84" 84 43 32 1 3 0.4121506 0
"85" 85 44 32 1 3 0.298022 0
"86" 86 45 32 1 3 4.606742e-05 1
"87" 87 20 33 1 14 0.7152762 0
"88" 88 21 33 1 14 0.04158882 0
"89" 89 22 33 1 14 0.8684988 0
"90" 90 23 33 1 13 0.5266661 0
"91" 91 24 33 1 19 0.2373228 0
"92" 92 25 33 1 19 0.06826139 0
"93" 93 26 33 1 19 0.9453566 0
"94" 94 29 33 1 24 0.01038584 0
"95" 95 30 33 1 24 0.03467694 0
"96" 96 31 33 1 24 0.004441775 1
"97" 97 32 33 1 24 0.4141955 0
"98" 98 33 33 1 24 0.01160241 0
"99" 99 34 33 1 24 0.5541569 0
"100" 100 35 33 1 24 0.254697 0
"101" 101 37 33 1 2 0.295076 0
"102" 102 38 33 1 2 0.4661307 0
"103" 103 39 33 1 2 0.5996635 0
"104" 104 40 33 1 2 0.6765467 0
"105" 105 41 33 1 2 0.9110972 0
"106" 106 42 33 1 2 0.007726297 0
"107" 107 43 33 1 3 0.211263 0
"108" 108 44 33 1 3 0.1440337 0
"109" 109 45 33 1 3 0.0001238952 1
"110" 110 20 34 1 19 0.003179926 1
"111" 111 21 34 1 14 0.8871923 0
"112" 112 22 34 1 14 0.8933435 0
"113" 113 23 34 1 19 0.898163 0
"114" 114 24 34 1 19 0.1138669 0
"115" 115 25 34 1 19 0.06534081 0
"116" 116 26 34 1 19 0.4020517 0
"117" 117 29 34 1 24 0.8559293 0
"118" 118 30 34 1 24 0.01360196 0
"119" 119 31 34 1 24 0.511185 0
"120" 120 32 34 1 24 0.8767898 0
"121" 121 33 34 1 24 0.9718689 0
"122" 122 34 34 1 24 0.9861307 0
"123" 123 35 34 1 24 0.2771089 0
"124" 124 38 34 1 2 0.7541767 0
"125" 125 39 34 1 2 0.2582308 0
"126" 126 40 34 1 2 0.5554464 0
"127" 127 41 34 1 2 0.02050834 0
"128" 128 42 34 1 2 0.03766392 0
"129" 129 43 34 1 8 0.8160396 0
"130" 130 44 34 1 8 0.04739472 0
"131" 131 45 34 1 8 0.005668028 0
"132" 132 20 35 1 19 0.02677572 0
"133" 133 21 35 1 19 0.2804669 0
"134" 134 22 35 1 19 0.03529405 0
"135" 135 23 35 1 19 0.4099168 0
"136" 136 24 35 1 19 0.9162592 0
"137" 137 25 35 1 19 0.6391834 0
"138" 138 26 35 1 19 0.01401974 0
"139" 139 29 35 1 24 0.8140403 0
"140" 140 30 35 1 24 0.2968472 0
"141" 141 31 35 1 24 0.8236451 0
"142" 142 32 35 1 24 0.9642399 0
"143" 143 33 35 1 24 0.3651359 0
"144" 144 34 35 1 24 0.9850477 0
"145" 145 35 35 1 24 0.2765388 0
"146" 146 37 35 1 8 0.3855008 0
"147" 147 38 35 1 8 0.7387674 0
"148" 148 39 35 1 8 0.537311 0
"149" 149 40 35 1 8 0.8939809 0
"150" 150 41 35 1 2 0.135045 0
"151" 151 42 35 1 8 0.06575025 0
"152" 152 43 35 1 8 0.388169 0
"153" 153 44 35 1 8 0.9400072 0
"154" 154 45 35 1 8 0.6894835 0
"155" 155 20 36 1 19 0.3366491 0
"156" 156 21 36 1 19 0.2549838 0
"157" 157 22 36 1 19 0.006217261 0
"158" 158 23 36 1 19 0.02105723 0
"159" 159 24 36 1 19 0.1896513 0
"160" 160 25 36 1 19 0.1167419 0
"161" 161 28 36 1 24 0.3763939 0
"162" 162 29 36 1 24 0.279059 0
"163" 163 30 36 1 24 0.473128 0
"164" 164 31 36 1 24 0.6478729 0
"165" 165 32 36 1 24 0.8414658 0
"166" 166 33 36 1 24 0.7185685 0
"167" 167 34 36 1 24 0.5694641 0
"168" 168 35 36 1 24 0.4325532 0
"169" 169 37 36 1 8 0.2536261 0
"170" 170 38 36 1 8 0.8873309 0
"171" 171 39 36 1 8 0.5099498 0
"172" 172 40 36 1 8 0.6335777 0
"173" 173 41 36 1 8 0.5734143 0
"174" 174 42 36 1 8 0.7768068 0
"175" 175 43 36 1 8 0.09002124 0
"176" 176 44 36 1 8 0.1496296 0
"177" 177 45 36 1 8 0.002048647 1
"178" 178 20 37 1 19 0.8529921 0
"179" 179 21 37 1 19 0.05153486 0
"180" 180 22 37 1 19 0.1428842 0
"181" 181 23 37 1 19 0.8518743 0
"182" 182 24 37 1 19 0.06669057 0
"183" 183 25 37 1 19 0.06406714 0
"184" 184 28 37 1 24 0.2945985 0
"185" 185 29 37 1 24 0.09519961 0
"186" 186 30 37 1 24 0.7453699 0
"187" 187 31 37 1 24 0.1731299 0
"188" 188 32 37 1 24 0.5645596 0
"189" 189 33 37 1 24 0.02680073 0
"190" 190 34 37 1 24 0.4219469 0
"191" 191 35 37 1 24 0.1535899 0
"192" 192 37 37 1 8 0.04102154 0
"193" 193 38 37 1 8 0.4652048 0
"194" 194 39 37 1 8 0.1100088 0
"195" 195 40 37 1 8 0.04212541 0
"196" 196 41 37 1 8 0.2432834 0
"197" 197 42 37 1 8 0.7214007 0
"198" 198 43 37 1 8 0.040635 0
"199" 199 44 37 1 8 0.0005151412 1
"200" 200 45 37 1 8 0.1447413 0
"201" 201 22 38 1 19 0.1419576 0
"202" 202 23 38 1 19 0.2168123 0
"203" 203 24 38 1 19 0.2230753 0
"204" 204 25 38 1 19 0.1452573 0
"205" 205 26 38 1 19 0.2278728 0
"206" 206 28 38 1 24 0.6032438 0
"207" 207 29 38 1 24 0.1595671 0
"208" 208 30 38 1 24 0.189739 0
"209" 209 31 38 1 24 0.03907651 0
"210" 210 32 38 1 24 0.01853992 0
"211" 211 33 38 1 24 0.6609375 0
"212" 212 34 38 1 24 0.8736272 0
"213" 213 35 38 1 24 0.7702162 0
"214" 214 37 38 1 8 0.6069711 0
"215" 215 38 38 1 8 0.1246251 0
"216" 216 39 38 1 8 0.1643442 0
"217" 217 40 38 1 8 4.165397e-06 1
"218" 218 41 38 1 8 0.07354712 0
"219" 219 42 38 1 8 0.0154337 0
"220" 220 43 38 1 8 0.179884 0
"221" 221 44 38 1 8 0.6731163 0
"222" 222 23 39 1 19 0.1290432 0
"223" 223 24 39 1 19 0.08692682 0
"224" 224 25 39 1 19 0.4918679 0
"225" 225 26 39 1 19 0.9970744 0
"226" 226 28 39 1 24 0.4872622 0
"227" 227 29 39 1 24 0.878255 0
"228" 228 30 39 1 24 0.3304519 0
"229" 229 31 39 1 24 0.3026491 0
"230" 230 32 39 1 24 0.4746997 0
"231" 231 33 39 1 24 0.1049221 0
"232" 232 34 39 1 24 0.02609659 0
"233" 233 35 39 1 24 0.08757048 0
"234" 234 39 39 1 8 0.1342609 0
"235" 235 40 39 1 8 0.002472587 1
"236" 236 41 39 1 8 0.1799152 0
"237" 237 42 39 1 8 0.7750885 0
"238" 238 43 39 1 8 0.1355974 0
"239" 239 29 40 1 24 0.5642628 0
"240" 240 30 40 1 24 0.2440415 0
"241" 241 31 40 1 24 0.7544106 0
"242" 242 32 40 1 24 0.1766283 0
"243" 243 17 44 1 15 0.321005 0
"244" 244 18 44 1 15 0.3267318 0
"245" 245 17 45 1 15 0.06957475 0
"246" 246 18 45 1 15 0.01199046 0
"247" 247 19 45 1 15 0.03431467 0
"248" 248 44 45 1 4 0.876118 0
"249" 249 45 45 1 4 0.002551026 1
"250" 250 46 45 1 4 0.4128745 0
"251" 251 47 45 1 4 0.7133096 0
"252" 252 48 45 1 4 2.126852e-06 1
"253" 253 17 46 1 15 0.07190088 0
"254" 254 18 46 1 15 0.001718711 1
"255" 255 19 46 1 15 0.009639675 0
"256" 256 22 46 1 21 0.4309026 0
"257" 257 23 46 1 21 0.5437911 0
"258" 258 24 46 1 21 0.205535 0
"259" 259 25 46 1 21 0.8069026 0
"260" 260 41 46 1 4 0.660513 0
"261" 261 42 46 1 4 0.1806152 0
"262" 262 43 46 1 4 0.05950103 0
"263" 263 44 46 1 4 0.8119712 0
"264" 264 45 46 1 4 0.1038794 0
"265" 265 46 46 1 4 0.9861917 0
"266" 266 47 46 1 4 0.02264235 0
"267" 267 48 46 1 4 0.0007310312 1
"268" 268 18 47 1 15 0.7183408 0
"269" 269 19 47 1 16 0.005163075 0
"270" 270 20 47 1 16 0.08731109 0
"271" 271 21 47 1 16 0.6480018 0
"272" 272 22 47 1 21 0.9416287 0
"273" 273 23 47 1 21 0.3889305 0
"274" 274 24 47 1 21 0.0606322 0
"275" 275 25 47 1 21 0.7415445 0
"276" 276 26 47 1 21 0.8265437 0
"277" 277 27 47 1 21 0.04461343 0
"278" 278 28 47 1 21 0.7065471 0
"279" 279 41 47 1 4 0.01648626 0
"280" 280 42 47 1 4 0.1219579 0
"281" 281 43 47 1 4 0.7562986 0
"282" 282 44 47 1 4 0.02638509 0
"283" 283 45 47 1 4 0.004920953 0
"284" 284 46 47 1 4 0.05537631 0
"285" 285 47 47 1 4 0.0006299287 1
"286" 286 48 47 1 4 0.0009039198 1
"287" 287 19 48 1 16 0.2306859 0
"288" 288 20 48 1 16 0.004207614 1
"289" 289 21 48 1 16 0.8156206 0
"290" 290 22 48 1 21 0.9051381 0
"291" 291 23 48 1 21 0.638845 0
"292" 292 24 48 1 21 0.6678585 0
"293" 293 25 48 1 21 0.7847837 0
"294" 294 26 48 1 21 0.4500418 0
"295" 295 27 48 1 21 0.814822 0
"296" 296 28 48 1 21 0.0351014 0
"297" 297 29 48 1 21 0.07876373 0
"298" 298 39 48 1 4 0.1778077 0
"299" 299 40 48 1 4 0.6581233 0
"300" 300 41 48 1 4 0.01132685 0
"301" 301 42 48 1 4 0.04550131 0
"302" 302 43 48 1 4 0.3280292 0
"303" 303 44 48 1 4 0.002599852 1
"304" 304 45 48 1 4 1.992994e-05 1
"305" 305 46 48 1 4 0.007556508 0
"306" 306 47 48 1 4 0.002398896 1
"307" 307 20 49 1 16 0.096333 0
"308" 308 21 49 1 16 0.9927151 0
"309" 309 22 49 1 21 0.6941723 0
"310" 310 23 49 1 21 0.1376767 0
"311" 311 24 49 1 21 0.5764649 0
"312" 312 25 49 1 21 0.2766552 0
"313" 313 26 49 1 21 0.5408129 0
"314" 314 27 49 1 21 0.4451818 0
"315" 315 28 49 1 21 0.2544102 0
"316" 316 29 49 1 21 0.3084833 0
"317" 317 30 49 1 21 0.1001768 0
"318" 318 37 49 1 10 0.0954072 0
"319" 319 38 49 1 10 0.7851088 0
"320" 320 39 49 1 10 0.2082062 0
"321" 321 40 49 1 4 0.09279441 0
"322" 322 41 49 1 4 0.7632594 0
"323" 323 42 49 1 4 0.9464806 0
"324" 324 43 49 1 4 0.001592633 1
"325" 325 44 49 1 4 0.0004184608 1
"326" 326 45 49 1 4 0.6026078 0
"327" 327 46 49 1 5 0.5083271 0
"328" 328 47 49 1 5 0.05803059 0
"329" 329 20 50 1 16 1.085462e-05 1
"330" 330 21 50 1 21 0.4918149 0
"331" 331 22 50 1 21 0.6821966 0
"332" 332 23 50 1 16 0.5935339 0
"333" 333 24 50 1 16 0.2728545 0
"334" 334 25 50 1 21 0.496419 0
"335" 335 26 50 1 21 0.6674377 0
"336" 336 27 50 1 21 0.5673398 0
"337" 337 28 50 1 21 0.7202401 0
"338" 338 29 50 1 21 0.1676609 0
"339" 339 30 50 1 21 0.5719944 0
"340" 340 33 50 1 10 0.8712039 0
"341" 341 34 50 1 10 0.5635997 0
"342" 342 35 50 1 10 0.08054309 0
"343" 343 36 50 1 10 0.4008858 0
"344" 344 37 50 1 10 0.1375471 0
"345" 345 38 50 1 10 0.1967986 0
"346" 346 39 50 1 10 0.8962757 0
"347" 347 40 50 1 10 0.41932 0
"348" 348 41 50 1 10 0.1938111 0
"349" 349 42 50 1 5 0.002694968 1
"350" 350 43 50 1 5 4.603709e-06 1
"351" 351 44 50 1 5 0.001709414 1
